f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
Evaluation Reward at Epoch 152. Obs: -0.992, Exp: -17.7
Evaluation Reward at Epoch 153. Obs: -0.989, Exp: -17.6
Evaluation Reward at Epoch 154. Obs: -0.992, Exp: -17.5
Evaluation Reward at Epoch 155. Obs: -0.994, Exp: -9.0
Evaluation Reward at Epoch 156. Obs: -0.989, Exp: -17.7
Evaluation Reward at Epoch 157. Obs: -0.992, Exp: -17.7
Evaluation Reward at Epoch 158. Obs: -0.989, Exp: -17.5
Evaluation Reward at Epoch 159. Obs: -0.992, Exp: -17.3
Evaluation Reward at Epoch 160. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 161. Obs: -0.992, Exp: -17.6
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 162. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 163. Obs: -0.992, Exp: -17.6
Evaluation Reward at Epoch 164. Obs: -0.989, Exp: -17.2
Evaluation Reward at Epoch 165. Obs: -0.989, Exp: -9.1
Evaluation Reward at Epoch 166. Obs: -0.992, Exp: -17.3
Evaluation Reward at Epoch 167. Obs: -0.989, Exp: -17.8
Evaluation Reward at Epoch 168. Obs: -0.989, Exp: -17.3
Evaluation Reward at Epoch 169. Obs: -0.992, Exp: -17.6
